Performance data spans 21:31.822953 mm:ss  from 2021/03/31 21:43:14 to 2021/03/31 22:04:46

Exclusive  % of CPU  Function (defining location)
 CPU time      Time  
       in            
 seconds.            
 4.147000  0.321057  G4VPhysicalVolume::GetTranslation() const (cmsExp: G4VPhysicalVolume.cc,143:1)
 4.139000  0.320438  __memcpy_ssse3 (libc-2.17.so)
 4.064000  0.314631  G4SauterGavrilaAngularDistribution::SampleDirection(G4DynamicParticle const*, double, int, G4Material const*) (cmsExp: G4SauterGavrilaAngularDistribution.cc,57:1)
 4.039000  0.312696  G4NavigationHistory::G4NavigationHistory(G4NavigationHistory const&) (cmsExp: G4NavigationHistory.cc,48:1)
 3.981000  0.308205  G4ParticleChangeForTransport::UpdateStepForPostStep(G4Step*) (cmsExp: G4ParticleChangeForTransport.cc,179:1)
 3.977000  0.307896  G4VProcess::ResetNumberOfInteractionLengthLeft() (cmsExp: G4VProcess.cc,81:1)
 3.879000  0.300309  G4LineSection::Dist(CLHEP::Hep3Vector) const (cmsExp: ThreeVector.icc,58:39)
 3.746000  0.290012  G4ReflectedSolid::DistanceToOut(CLHEP::Hep3Vector const&) const (cmsExp: G4ReflectedSolid.cc,331:1)
 3.732000  0.288928  __memset_sse2 (libc-2.17.so)
 3.516000  0.272206  G4ReflectedSolid::DistanceToOut(CLHEP::Hep3Vector const&, CLHEP::Hep3Vector const&, bool, bool*, CLHEP::Hep3Vector*) const (cmsExp: G4ReflectedSolid.cc,310:1)
 3.452000  0.267251  G4AffineTransform::G4AffineTransform(CLHEP::HepRotation const*, CLHEP::Hep3Vector const&) (cmsExp: G4AffineTransform.icc,61:14)
 3.326000  0.257496  G4LivermorePhotoElectricModel::SampleSecondaries(std::vector<G4DynamicParticle*, std::allocator<G4DynamicParticle*> >*, G4MaterialCutsCouple const*, G4DynamicParticle const*, double, double) (cmsExp: G4LivermorePhotoElectricModel.cc,280:1)
 3.277000  0.253702  G4Region::GetRegionalSteppingAction() const (cmsExp: G4Region.cc,160:10)
 3.214000  0.248825  G4UrbanMscModel::ComputeTrueStepLength(double) (cmsExp: G4UrbanMscModel.cc,779:3)
 3.183000  0.246425  G4Navigator::SetupHierarchy() (cmsExp: G4Navigator.cc,1330:1)
 3.114000  0.241083  __sincos (libm-2.17.so)
 3.109000  0.240696  G4ProcessManager::StartTracking(G4Track*) (cmsExp: G4ProcessManager.cc,1164:1)
 3.093000  0.239457  G4Navigator::ResetHierarchyAndLocate(CLHEP::Hep3Vector const&, CLHEP::Hep3Vector const&, G4TouchableHistory const&) (cmsExp: G4Navigator.cc,105:1)
 3.087000  0.238993  G4IntegrationDriver<G4TDormandPrince45<G4Mag_UsualEqRhs, 6u> >::OneGoodStep(double*, double const*, double&, double, double, double&, double&) (cmsExp: G4IntegrationDriver.icc,228:6)
 3.066000  0.237367  G4HadronicProcess::GetMeanFreePath(G4Track const&, double, G4ForceCondition*) (cmsExp: G4HadronicProcess.cc,190:1)
 3.046000  0.235819  G4LogicalVolume::GetMaterial() const (cmsExp: G4LogicalVolume.cc,441:10)
 3.036000  0.235044  G4VEmProcess::StartTracking(G4Track*) (cmsExp: G4Track.icc,80:50)
 3.029000  0.234502  G4PolyconeSide::Inside(CLHEP::Hep3Vector const&, double, double*) (cmsExp: G4PolyconeSide.cc,432:1)
 2.927000  0.226606  G4PropagatorInField::FindAndSetFieldManager(G4VPhysicalVolume*) (cmsExp: G4PropagatorInField.cc,700:1)
 2.794000  0.216309  G4ParticleDefinition::GetProcessManager() const (cmsExp: G4ParticleDefinition.cc,239:3)
 2.709000  0.209728  G4ProcessManager::EndTracking() (cmsExp: G4ProcessManager.cc,1175:1)
 2.649000  0.205083  G4SeltzerBergerModel::SampleSecondaries(std::vector<G4DynamicParticle*, std::allocator<G4DynamicParticle*> >*, G4MaterialCutsCouple const*, G4DynamicParticle const*, double, double) (cmsExp: G4SeltzerBergerModel.cc,264:1)
 2.640000  0.204386  G4TouchableHistory::G4TouchableHistory(G4NavigationHistory const&) (cmsExp: G4TouchableHistory.cc,47:1)
 2.564000  0.198503  G4ReflectedSolid::Inside(CLHEP::Hep3Vector const&) const (cmsExp: G4ReflectedSolid.cc,258:1)
 2.543000  0.196877  G4Trap::DistanceToIn(CLHEP::Hep3Vector const&) const (cmsExp: G4Trap.cc,898:11)
 2.537000  0.196412  G4VProcess::EndTracking() (cmsExp: G4VProcess.cc,103:1)
